PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
377,32.5950982,129.3007619,-0.297,-277.789,197.777,1,4929,34,90
378,32.595095,129.3007628,-0.297,-278.761,198.012,1,4929,34,90
379,32.5950919,129.3007637,-0.297,-279.733,198.247,1,4929,34,90
380,32.5950887,129.3007646,-0.297,-280.705,198.482,1,4929,34,90
381,32.5950856,129.3007656,-0.297,-281.677,198.717,1,4929,34,90
382,32.5950824,129.3007665,-0.297,-282.649,198.952,1,4929,34,90
383,32.5950793,129.3007674,-0.297,-283.621,199.187,1,4929,34,90
384,32.5950761,129.3007683,-0.297,-284.593,199.422,1,4929,34,90
385,32.5950729,129.3007692,-0.297,-285.565,199.657,1,4929,34,90
386,32.5950698,129.3007701,-0.297,-286.537,199.892,1,4929,34,90
387,32.5950666,129.300771,-0.297,-287.509,200.127,1,4929,34,90
388,32.5950663,129.3007711,-0.297,-287.622,200.154,1,4929,34,90
389,32.59506,129.3007731,-0.297,-289.554,200.67,1,4929,34,90
390,32.5950569,129.3007741,-0.297,-290.52,200.928,1,4929,34,90
391,32.5950537,129.3007751,-0.297,-291.486,201.186,1,4929,34,90
392,32.5950506,129.3007761,-0.297,-292.452,201.444,1,4929,34,90
393,32.5950475,129.300777,-0.297,-293.418,201.702,1,4929,34,90
394,32.5950443,129.300778,-0.297,-294.384,201.96,1,4929,34,90
395,32.5950412,129.300779,-0.297,-295.35,202.218,1,4929,34,90
396,32.595038,129.30078,-0.297,-296.316,202.476,1,4929,34,90
397,32.5950349,129.300781,-0.297,-297.282,202.734,1,4929,34,90
398,32.5950318,129.300782,-0.297,-298.248,202.992,1,4929,34,90
399,32.5950286,129.300783,-0.297,-299.214,203.25,1,4929,34,90
400,32.5950255,129.300784,-0.297,-300.18,203.508,1,4929,34,90
401,32.5950224,129.300785,-0.297,-301.146,203.766,1,4929,34,90
402,32.5950192,129.300786,-0.297,-302.112,204.024,1,4929,34,90
403,32.5950161,129.300787,-0.297,-303.078,204.282,1,4929,34,90
404,32.595013,129.300788,-0.297,-304.044,204.54,1,4929,34,90
405,32.5950098,129.300789,-0.297,-305.01,204.798,1,4929,34,90
406,32.5950067,129.30079,-0.297,-305.976,205.056,1,4929,34,90
407,32.5950035,129.300791,-0.297,-306.942,205.314,1,4929,34,90
408,32.5950004,129.300792,-0.297,-307.908,205.572,1,4929,34,90
409,32.5949973,129.300793,-0.297,-308.874,205.83,1,4929,34,90
410,32.5949941,129.3007939,-0.297,-309.84,206.088,1,4929,34,90
411,32.594991,129.3007949,-0.297,-310.806,206.346,1,4929,34,90
412,32.5949879,129.3007959,-0.297,-311.772,206.604,1,4929,34,90
413,32.5949847,129.3007969,-0.297,-312.738,206.862,1,4929,34,90
414,32.5949816,129.3007979,-0.297,-313.704,207.12,1,4929,34,90
415,32.5949785,129.3007989,-0.297,-314.67,207.378,1,4929,34,90
416,32.5949753,129.3007999,-0.297,-315.636,207.636,1,4929,34,90
417,32.5949722,129.3008009,-0.297,-316.602,207.894,1,4929,34,90
418,32.5949691,129.3008019,-0.297,-317.568,208.152,1,4929,34,90
419,32.5949659,129.3008029,-0.297,-318.534,208.41,1,4929,34,90
420,32.5949628,129.3008039,-0.297,-319.5,208.668,1,4929,34,90
421,32.5949596,129.3008049,-0.297,-320.466,208.926,1,4929,34,90
422,32.5949565,129.3008059,-0.297,-321.432,209.184,1,4929,34,90
423,32.5949534,129.3008069,-0.297,-322.398,209.442,1,4929,34,90
424,32.5949502,129.3008079,-0.297,-323.364,209.7,1,4929,34,90
425,32.5949471,129.3008089,-0.297,-324.33,209.958,1,4929,34,90
426,32.594944,129.3008098,-0.297,-325.296,210.216,1,4929,34,90
427,32.5949408,129.3008108,-0.297,-326.262,210.474,1,4929,34,90
428,32.5949377,129.3008118,-0.297,-327.228,210.732,1,4929,34,90
429,32.5949346,129.3008128,-0.297,-328.194,210.99,1,4929,34,90
430,32.5949314,129.3008138,-0.297,-329.16,211.248,1,4929,34,90
431,32.5949283,129.3008148,-0.297,-330.126,211.506,1,4929,34,90
432,32.5949251,129.3008158,-0.297,-331.092,211.764,1,4929,34,90
433,32.594922,129.3008168,-0.297,-332.058,212.022,1,4929,34,90
434,32.5949189,129.3008178,-0.297,-333.024,212.28,1,4929,34,90
435,32.5949157,129.3008188,-0.297,-333.99,212.538,1,4929,34,90
436,32.5949126,129.3008198,-0.297,-334.956,212.796,1,4929,34,90
437,32.5949095,129.3008208,-0.297,-335.922,213.054,1,4929,34,90
438,32.5949081,129.3008212,-0.297,-336.346,213.167,1,4929,34,90
